user_id,date,time,rmssd,coverage,hf,lf
smcfb.02.003,2024-02-21,-1,-1,-1,-1,-1
smcfb.02.003,2024-02-22,22:15:00.000,31.525,0.799,161.406,15.282
smcfb.02.003,2024-02-22,22:20:00.000,30.927,0.997,352.835,393.493
smcfb.02.003,2024-02-22,22:25:00.000,30.7,0.945,172.945,386.148
smcfb.02.003,2024-02-22,22:30:00.000,29.338,0.977,123.705,635.88
smcfb.02.003,2024-02-22,22:35:00.000,31.26,0.938,158.38,616.296
smcfb.02.003,2024-02-22,22:40:00.000,28.275,0.986,166.332,1303.653
smcfb.02.003,2024-02-22,22:45:00.000,22.413,0.82,50.653,207.737
smcfb.02.003,2024-02-22,22:50:00.000,23.652,0.994,118.314,179.808
smcfb.02.003,2024-02-22,22:55:00.000,24.047,0.997,73.105,233.125
smcfb.02.003,2024-02-22,23:00:00.000,25.647,0.943,107.086,229.047
smcfb.02.003,2024-02-22,23:05:00.000,25.672,1.005,127.548,124.254
smcfb.02.003,2024-02-22,23:10:00.000,29.99,0.997,128.014,276.025
smcfb.02.003,2024-02-22,23:15:00.000,34.635,0.985,211.287,269.199
smcfb.02.003,2024-02-22,23:20:00.000,33.686,1.001,226.057,140.562
smcfb.02.003,2024-02-22,23:25:00.000,33.974,1.006,185.715,162.519
smcfb.02.003,2024-02-22,23:30:00.000,38.18,1.003,237.044,450.06
smcfb.02.003,2024-02-22,23:35:00.000,32.354,1.004,156.733,490.064
smcfb.02.003,2024-02-22,23:40:00.000,34.459,0.984,208.8,435.248
smcfb.02.003,2024-02-22,23:45:00.000,34.503,0.992,216.823,376.692
smcfb.02.003,2024-02-22,23:50:00.000,31.621,0.99,149.902,526.149
smcfb.02.003,2024-02-22,23:55:00.000,24.853,0.947,130.166,222.516
smcfb.02.003,2024-02-23,00:00:00.000,29.512,0.996,146.131,184.626
smcfb.02.003,2024-02-23,00:05:00.000,27.613,0.882,97.226,549.747
smcfb.02.003,2024-02-23,00:10:00.000,25.203,1.003,98.276,239.032
smcfb.02.003,2024-02-23,00:15:00.000,26.277,0.991,99.62,213.86
smcfb.02.003,2024-02-23,00:20:00.000,26.168,0.973,96.344,199.85
smcfb.02.003,2024-02-23,00:25:00.000,29.122,1.0,131.924,230.521
smcfb.02.003,2024-02-23,00:30:00.000,29.521,0.999,116.543,314.851
smcfb.02.003,2024-02-23,00:35:00.000,30.038,1.004,140.453,317.142
smcfb.02.003,2024-02-23,00:40:00.000,25.791,0.966,119.59,230.623
smcfb.02.003,2024-02-23,00:45:00.000,26.663,0.998,138.089,204.572
smcfb.02.003,2024-02-23,00:50:00.000,23.755,1.001,89.575,50.098
smcfb.02.003,2024-02-23,00:55:00.000,29.58,1.004,151.435,229.278
smcfb.02.003,2024-02-23,01:00:00.000,24.01,1.001,74.364,185.994
smcfb.02.003,2024-02-23,01:05:00.000,23.577,1.003,102.873,346.615
smcfb.02.003,2024-02-23,01:10:00.000,24.468,0.977,91.201,505.359
smcfb.02.003,2024-02-23,01:15:00.000,26.851,0.998,102.014,91.789
smcfb.02.003,2024-02-23,01:20:00.000,27.714,0.971,102.918,109.545
smcfb.02.003,2024-02-23,01:25:00.000,28.598,1.004,140.255,129.527
smcfb.02.003,2024-02-23,01:30:00.000,26.101,0.981,86.898,241.267
smcfb.02.003,2024-02-23,01:35:00.000,24.126,0.994,96.588,44.997
smcfb.02.003,2024-02-23,01:40:00.000,22.182,1.0,97.388,109.02
smcfb.02.003,2024-02-23,01:45:00.000,26.093,1.0,100.726,74.741
smcfb.02.003,2024-02-23,01:50:00.000,27.12,0.957,90.203,349.522
smcfb.02.003,2024-02-24,00:00:00.000,33.409,0.953,279.587,71.015
smcfb.02.003,2024-02-24,00:05:00.000,41.885,1.004,453.743,88.357
smcfb.02.003,2024-02-24,00:10:00.000,35.402,1.0,245.757,153.298
smcfb.02.003,2024-02-24,00:15:00.000,30.431,0.99,130.404,102.002
smcfb.02.003,2024-02-24,00:20:00.000,30.475,0.999,148.238,68.093
smcfb.02.003,2024-02-24,00:25:00.000,24.377,0.994,74.841,87.091
smcfb.02.003,2024-02-24,00:30:00.000,35.961,0.999,308.608,109.23
smcfb.02.003,2024-02-24,00:35:00.000,34.558,0.984,241.633,116.004
smcfb.02.003,2024-02-24,00:40:00.000,30.202,0.957,136.63,263.475
smcfb.02.003,2024-02-24,00:45:00.000,32.5,1.004,236.203,88.141
smcfb.02.003,2024-02-24,00:50:00.000,45.307,0.978,324.38,67.584
smcfb.02.003,2024-02-24,00:55:00.000,23.116,1.002,107.548,66.558
smcfb.02.003,2024-02-24,01:00:00.000,28.372,0.953,197.058,140.43
smcfb.02.003,2024-02-24,01:05:00.000,28.548,0.993,173.348,87.385
smcfb.02.003,2024-02-24,01:10:00.000,29.403,1.002,151.31,119.122
smcfb.02.003,2024-02-24,01:15:00.000,41.504,0.983,486.555,195.254
smcfb.02.003,2024-02-24,01:20:00.000,35.421,0.995,270.693,166.601
smcfb.02.003,2024-02-24,01:25:00.000,32.529,1.003,191.826,129.091
smcfb.02.003,2024-02-24,01:30:00.000,29.685,0.966,142.924,83.365
smcfb.02.003,2024-02-24,01:35:00.000,38.857,0.964,311.71,192.505
smcfb.02.003,2024-02-24,01:40:00.000,50.181,1.003,469.319,196.557
smcfb.02.003,2024-02-24,01:45:00.000,36.931,0.983,241.039,107.016
smcfb.02.003,2024-02-24,01:50:00.000,30.058,0.938,133.146,178.006
smcfb.02.003,2024-02-25,00:00:00.000,39.015,0.989,325.229,113.196
smcfb.02.003,2024-02-25,00:05:00.000,36.763,1.005,253.552,86.175
smcfb.02.003,2024-02-25,00:10:00.000,40.198,0.99,298.148,71.542
smcfb.02.003,2024-02-25,00:20:00.000,32.106,1.001,201.409,52.813
smcfb.02.003,2024-02-25,00:25:00.000,32.691,0.989,204.672,114.581
smcfb.02.003,2024-02-25,00:30:00.000,31.069,1.002,129.323,239.593
smcfb.02.003,2024-02-25,00:40:00.000,25.234,0.845,57.708,65.096
smcfb.02.003,2024-02-25,00:45:00.000,36.215,1.005,238.434,67.836
smcfb.02.003,2024-02-25,00:50:00.000,36.425,0.988,273.242,184.301
smcfb.02.003,2024-02-25,00:55:00.000,37.235,0.979,194.585,91.875
smcfb.02.003,2024-02-25,01:00:00.000,42.338,1.002,338.191,81.171
smcfb.02.003,2024-02-25,01:10:00.000,34.884,0.985,221.33,47.771
smcfb.02.003,2024-02-25,01:15:00.000,32.58,1.006,123.828,136.162
smcfb.02.003,2024-02-25,01:20:00.000,42.494,1.006,294.381,221.554
smcfb.02.003,2024-02-25,01:25:00.000,45.855,0.991,418.918,179.27
smcfb.02.003,2024-02-25,01:30:00.000,41.214,0.904,312.177,151.446
smcfb.02.003,2024-02-25,01:40:00.000,33.899,0.984,185.846,198.83
smcfb.02.003,2024-02-25,01:45:00.000,37.275,0.984,823.262,1621.158
smcfb.02.003,2024-02-25,02:00:00.000,20.362,0.952,44.889,48.378
smcfb.02.003,2024-02-25,02:05:00.000,28.347,0.969,98.922,147.643
smcfb.02.003,2024-02-25,02:10:00.000,27.255,0.933,242.975,1376.467
smcfb.02.003,2024-02-25,02:15:00.000,20.072,0.982,66.474,86.776
smcfb.02.003,2024-02-25,02:20:00.000,21.723,0.991,68.834,117.372
smcfb.02.003,2024-02-26,00:00:00.000,25.012,0.986,114.446,52.688
smcfb.02.003,2024-02-26,00:05:00.000,24.367,0.914,74.969,235.601
smcfb.02.003,2024-02-26,00:10:00.000,22.562,1.003,107.623,82.291
smcfb.02.003,2024-02-26,00:15:00.000,25.378,0.997,104.01,106.082
smcfb.02.003,2024-02-26,00:30:00.000,17.349,0.948,51.425,33.626
smcfb.02.003,2024-02-26,00:35:00.000,21.532,0.993,71.364,80.02
smcfb.02.003,2024-02-26,00:40:00.000,24.103,0.983,1294.524,9372.042
smcfb.02.003,2024-02-26,00:45:00.000,25.039,0.969,236.658,2689.503
smcfb.02.003,2024-02-26,00:50:00.000,25.532,0.962,113.638,48.939
smcfb.02.003,2024-02-26,01:00:00.000,19.984,0.826,68.497,101.039
smcfb.02.003,2024-02-26,01:05:00.000,16.215,0.98,774.83,3148.45
smcfb.02.003,2024-02-26,01:10:00.000,20.338,0.969,1126.638,4630.614
smcfb.02.003,2024-02-26,01:15:00.000,22.84,0.993,112.649,113.837
smcfb.02.003,2024-02-26,01:20:00.000,23.011,0.992,783.078,1807.205
smcfb.02.003,2024-02-26,01:25:00.000,25.158,0.989,117.501,64.821
smcfb.02.003,2024-02-26,01:30:00.000,20.994,1.002,82.961,40.493
smcfb.02.003,2024-02-26,01:35:00.000,20.021,0.992,78.777,72.502
smcfb.02.003,2024-02-26,01:45:00.000,19.566,0.992,73.847,1138.975
smcfb.02.003,2024-02-26,01:50:00.000,21.106,0.989,87.57,88.667
smcfb.02.003,2024-02-26,01:55:00.000,20.925,0.982,88.545,36.533
smcfb.02.003,2024-02-26,02:00:00.000,21.048,1.002,89.97,57.505
smcfb.02.003,2024-02-26,02:05:00.000,21.275,0.983,88.892,42.101
smcfb.02.003,2024-02-26,02:10:00.000,21.447,0.992,111.745,60.074
smcfb.02.003,2024-02-27,-1,-1,-1,-1,-1
smcfb.02.003,2024-02-28,-1,-1,-1,-1,-1
smcfb.02.003,2024-02-29,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-01,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-04,00:00:00.000,46.215,0.981,404.411,344.725
smcfb.02.003,2024-03-04,00:05:00.000,42.844,1.004,335.521,399.389
smcfb.02.003,2024-03-04,00:10:00.000,45.624,0.981,287.945,208.906
smcfb.02.003,2024-03-04,00:15:00.000,44.041,0.926,361.735,2445.278
smcfb.02.003,2024-03-04,00:20:00.000,47.672,0.97,280.129,232.859
smcfb.02.003,2024-03-04,00:25:00.000,46.257,0.978,230.814,181.652
smcfb.02.003,2024-03-04,00:30:00.000,69.752,0.784,452.66,467.424
smcfb.02.003,2024-03-04,00:35:00.000,79.679,0.976,844.553,2450.459
smcfb.02.003,2024-03-04,00:40:00.000,67.693,0.985,814.511,1576.04
smcfb.02.003,2024-03-04,00:45:00.000,64.322,0.956,592.86,594.422
smcfb.02.003,2024-03-04,00:50:00.000,64.444,0.998,521.446,266.928
smcfb.02.003,2024-03-04,00:55:00.000,68.316,0.968,513.11,709.701
smcfb.02.003,2024-03-04,01:00:00.000,80.593,0.986,718.176,810.086
smcfb.02.003,2024-03-04,01:05:00.000,70.841,0.999,641.766,725.933
smcfb.02.003,2024-03-04,01:10:00.000,72.162,0.952,637.442,546.826
smcfb.02.003,2024-03-04,01:15:00.000,36.22,0.975,183.73,167.836
smcfb.02.003,2024-03-04,01:20:00.000,51.102,0.867,255.958,368.895
smcfb.02.003,2024-03-04,01:25:00.000,62.022,0.934,353.41,255.48
smcfb.02.003,2024-03-04,01:30:00.000,59.983,0.897,393.654,255.422
smcfb.02.003,2024-03-04,01:40:00.000,22.1,0.705,68.063,99.939
smcfb.02.003,2024-03-04,01:45:00.000,36.895,0.973,203.839,244.469
smcfb.02.003,2024-03-04,01:50:00.000,42.565,0.996,308.818,257.838
smcfb.02.003,2024-03-04,01:55:00.000,44.277,0.98,318.778,111.833
smcfb.02.003,2024-03-05,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-06,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-07,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-08,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-09,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-10,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-12,00:00:00.000,17.032,0.98,32.392,95.996
smcfb.02.003,2024-03-12,00:05:00.000,15.188,0.978,26.24,32.32
smcfb.02.003,2024-03-12,00:10:00.000,30.369,0.953,1382.645,4208.035
smcfb.02.003,2024-03-12,00:15:00.000,30.203,0.998,173.728,206.263
smcfb.02.003,2024-03-12,00:20:00.000,32.383,0.967,153.554,91.711
smcfb.02.003,2024-03-12,00:25:00.000,31.665,0.987,129.945,244.916
smcfb.02.003,2024-03-12,00:30:00.000,24.858,0.96,57.602,108.973
smcfb.02.003,2024-03-12,00:35:00.000,21.73,1.002,58.169,32.804
smcfb.02.003,2024-03-12,00:40:00.000,20.966,0.999,71.114,66.848
smcfb.02.003,2024-03-12,00:45:00.000,18.053,1.006,53.827,54.72
smcfb.02.003,2024-03-12,00:50:00.000,26.055,0.966,106.288,119.38
smcfb.02.003,2024-03-12,00:55:00.000,22.065,1.004,77.219,76.287
smcfb.02.003,2024-03-12,01:00:00.000,19.858,1.001,237.804,1017.731
smcfb.02.003,2024-03-12,01:05:00.000,19.93,1.003,71.977,47.274
smcfb.02.003,2024-03-12,01:10:00.000,23.76,0.962,71.172,300.784
smcfb.02.003,2024-03-12,01:15:00.000,21.562,0.954,159.677,702.239
smcfb.02.003,2024-03-12,01:20:00.000,23.142,0.955,104.567,335.945
smcfb.02.003,2024-03-12,01:25:00.000,21.341,1.006,72.261,140.791
smcfb.02.003,2024-03-12,01:30:00.000,24.795,0.997,107.093,134.568
smcfb.02.003,2024-03-12,01:35:00.000,23.207,0.969,78.152,135.026
smcfb.02.003,2024-03-12,01:40:00.000,44.49,0.978,273.743,106.749
smcfb.02.003,2024-03-12,01:45:00.000,28.31,0.712,122.848,254.11
smcfb.02.003,2024-03-12,01:50:00.000,21.182,0.743,50.919,22.938
smcfb.02.003,2024-03-15,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-16,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-17,21:15:00.000,22.963,0.847,287.84,391.672
smcfb.02.003,2024-03-17,21:20:00.000,35.87,0.736,196.15,3710.432
smcfb.02.003,2024-03-17,21:25:00.000,23.355,0.869,87.142,60.792
smcfb.02.003,2024-03-17,21:30:00.000,23.985,0.985,89.478,53.434
smcfb.02.003,2024-03-17,21:35:00.000,23.876,1.006,200.697,242.873
smcfb.02.003,2024-03-17,21:40:00.000,27.643,0.919,130.234,686.663
smcfb.02.003,2024-03-17,21:45:00.000,28.251,0.984,158.0,68.762
smcfb.02.003,2024-03-17,21:50:00.000,29.641,0.987,451.503,721.417
smcfb.02.003,2024-03-17,21:55:00.000,29.093,0.998,196.121,34.108
smcfb.02.003,2024-03-17,22:00:00.000,30.994,0.992,228.731,88.863
smcfb.02.003,2024-03-17,22:05:00.000,28.098,0.989,169.899,145.949
